Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name
2016M01,ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",3127.5,PRIME ONE GENERAL TRADING & CONTRACTING CO. WLL,DEPT OF THE AIR FORCE
2016M01,ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",3968.67,PRIME ONE GENERAL TRADING & CONTRACTING CO. WLL,DEPT OF THE AIR FORCE
2016M01,BITUMINOUS COAL UNDERGROUND MINING,"FUELS, SOLID",351038.45,"DELTA COALS, LLC",DEPT OF THE NAVY
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"BUILDING COMPONENTS, PREFABRICATED",10341.15,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,140539.74,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,143381.65,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,6889.81,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,8661.9,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,13085.92,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,8144.33,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,9369.2,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,4232.96,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,5221.52,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,11490.4,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,0.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,6553.41,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,151535.0,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,156427.6,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,8802.58,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,43791.8,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,44400.0,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,87513.6,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,87981.14,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,108028.35,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,181979.0,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,193735.0,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,246834.0,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OTHER UTILITIES,19500.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"MATERIAL HANDLING EQUIPMENT, NONSELF-PROPELLED",6.39,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",6066.21,"CORLISS RESOURCES, INC.",NATIONAL PARK SERVICE
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",11310.0,"THOMPSON, RICHARD ROY",DEPT OF THE ARMY
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",49660.0,ABRAJ BUILDING CONTRACTING LLC,DEPT OF THE ARMY
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS CONSTRUCTION EQUIPMENT,0.0,DOU'A AL-KUWAITDOU'A AL-KUWAIT,DEPT OF THE AIR FORCEDEPT OF THE AIR FORCE
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS CONSTRUCTION EQUIPMENT,4171.57,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS CONSTRUCTION MATERIALS,116.36,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS CONSTRUCTION MATERIALS,4387.5,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS CONSTRUCTION MATERIALS,5601.66,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS CONSTRUCTION MATERIALS,5834.95,BSE PERFORMANCE LLC,FEDERAL PRISON SYSTEM
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS CONSTRUCTION MATERIALS,14085.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS CONSTRUCTION MATERIALS,19846.0,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS MATERIALS HANDLING EQUIPMENT,26360.13,"ALDON BOOKHARDT ROOFING, INC.",DEPT OF THE ARMY
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"TRUCKS AND TRUCK TRACTORS, WHEELED",0.0,"ARNOLD J. THOMAS & SON, INC.",DEPT OF THE ARMY
2016M01,CONSTRUCTION SAND AND GRAVEL MINING,"TRUCKS AND TRUCK TRACTORS, WHEELED",104518.84,"MILLER MATERIALS, INC.",DEPT OF THE ARMY
2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY
2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,4998.32,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY
2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,40570.85,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE
2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,51104.42,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE
2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,55229.41,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,240518.48,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY
2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,307815.44,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY
2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,409377.02,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE
2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,618991.08,"WGL ENERGY SERVICES, INC.",DEFENSE LOGISTICS AGENCY
2016M01,CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",9450.0,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY
2016M01,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",2105.68,"ALLEN COMPANY, INC., THE",DEPT OF THE ARMY
2016M01,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",10300.0,L L CARTER & SON INC,DEPT OF THE ARMY
2016M01,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",11653.58,"GREER INDUSTRIES, INC.",FOREST SERVICE
2016M01,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",25444.95,RONNIE DUFFIELD GRAVEL COMPANY,U.S. FISH AND WILDLIFE SERVICE
2016M01,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",29409.24,JOHNSON'S READY MIX CONCRETE PRODUCTS INC,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
2016M01,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",39967.31,"BOXLEY AGGREGATES OF WEST VIRGINIA, L.L.C.",FOREST SERVICE
2016M01,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",150240.0,L L CARTER & SON INC,DEPT OF THE ARMY
2016M01,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,MISCELLANEOUS CONSTRUCTION MATERIALS,4400.0,ZUM MALLEN ROCK & GRAIN CORPORATION,AGRICULTURAL RESEARCH SERVICE
2016M01,DIMENSION STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",14766.0,"THOMPSON, RICHARD ROY",DEPT OF THE ARMY
2016M01,DIMENSION STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",41837.0,"THOMPSON, RICHARD ROY",DEPT OF THE ARMY
2016M01,DIMENSION STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",44000.0,CONCRETE AGGREGATE PRODUCTS INC,FOREST SERVICE
2016M01,DRILLING OIL AND GAS WELLS,FUEL OILS,5034.0,SLATER OIL COMPANY,INDIAN HEALTH SERVICE
2016M01,DRILLING OIL AND GAS WELLS,LEASE OR RENTAL OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY,11140.0,INTERSTATE DRILLING SERVICES LLP,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
2016M01,NATURAL GAS LIQUID EXTRACTION,CHEMICALS,7966.64,LIQUIGAS SPA,DEPT OF THE ARMY
2016M01,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",2107.13,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY
2016M01,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,HOUSEKEEPING- SNOW REMOVAL/SALT,12349.8,"R.B.S., INC.",FEDERAL PRISON SYSTEM
2016M01,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,HOUSEKEEPING- SNOW REMOVAL/SALT,14299.1,"R.B.S., INC.",FEDERAL PRISON SYSTEM
2016M01,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,INSTALLATION OF EQUIPMENT- CONSTRUCTION AND BUILDING MATERIALS,24955.13,W W D CORPORATION,BUREAU OF LAND MANAGEMENT
2016M01,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",224.1,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
2016M01,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",448.2,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
2016M01,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",7008.0,"GEARHART BROTHERS SERVICES, LLC",DEPT OF THE ARMY
2016M01,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",10186.5,SCHAEFER CONTRACTING,DEPT OF THE ARMY
2016M01,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",33140.68,"NUTTER, LOUIS W SR",DEPT OF THE ARMY
2016M01,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",44739.87,"IRON MOUNTAIN QUARRY, L.L.C.",DEPT OF THE ARMY
2016M01,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",54930.0,"MEDITERRANEAN CEMENT CO, INC",DEPT OF THE ARMY
2016M01,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",118654.2,NORTHWEST ROCK,DEPT OF THE ARMY
2016M01,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MINERAL CONSTRUCTION MATERIALS, BULK",207965.0,"TARPAN CONSTRUCTION, LLC",DEPT OF THE ARMY
2016M01,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,MISCELLANEOUS CONSTRUCTION MATERIALS,206698.55,"PEAK SAND & GRAVEL, INC",DEPT OF THE ARMY
2016M01,"POTASH, SODA, AND BORATE MINERAL MINING","BEVERAGES, NONALCOHOLIC",14040.0,"COCA-COLA REFRESHMENTS USA, INC.",DEPT OF THE NAVY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"BEARINGS, ANTIFRICTION, UNMOUNTED",2210.0,"ARKWIN INDUSTRIES, INC.",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"BEARINGS, ANTIFRICTION, UNMOUNTED",14244.0,SARCO INC,DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"BEARINGS, ANTIFRICTION, UNMOUNTED",149850.0,"TRANSAERO, INC.",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"BEARINGS, PLAIN, UNMOUNTED",0.0,GOLDSHIRE EQUIPMENTS LLC,DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"BEARINGS, PLAIN, UNMOUNTED",84.84,DELA TECHNOLOGY CORPORATION,DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"BEARINGS, PLAIN, UNMOUNTED",16275.0,"STEVENS MANUFACTURING CO., INC.",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"HARDWARE, COMMERCIAL",301.2,"HERNDON PRODUCTS, INC.",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"HARDWARE, COMMERCIAL",570.0,"HERNDON PRODUCTS, INC.",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"HARDWARE, COMMERCIAL",11002.5,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,KNOBS AND POINTERS,500.0,"THALES DEFENSE & SECURITY, INC",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,0.0,"WARNKE, ROGER",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,3154.56,"REIDVILLE HYDRAULICS & MFG, INC.",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,7422.12,"HYDRAULICS INTERNATIONAL, INC.",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"NAILS, MACHINE KEYS, AND PINS",560.0,"SZY HOLDINGS, LLC",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"NAILS, MACHINE KEYS, AND PINS",565.88,"PONSKI, BOGDAN M",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"NAILS, MACHINE KEYS, AND PINS",1169.22,HOWIE MANUFACTURING CO INC,DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,"NAILS, MACHINE KEYS, AND PINS",23470.25,"LEVENGOOD SUPPLY COMPANY, INC.",DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR COAL MINING,PACKING AND GASKET MATERIALS,2720.25,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
2016M01,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,28400.5,"HAZ-TECH DRILLING, INC.",FEDERAL HIGHWAY ADMINISTRATION
2016M01,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,49862.5,"HAZ-TECH DRILLING, INC.",FEDERAL HIGHWAY ADMINISTRATION
2016M01,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- GEOPHYSICAL,134118.0,WELSCO CORP,DEPT OF THE NAVY
2016M01,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- SOIL,18674.36,"GROUNDHOG EXCAVATING, INC",DEPT OF THE ARMY
2016M01,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),SPECIAL STUDIES/ANALYSIS- SOIL,86490.55,"GROUNDHOG EXCAVATING, INC",DEPT OF THE ARMY
2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,GASES: COMPRESSED AND LIQUEFIED,4944.0,KEEN COMPRESSED GAS CO,DEPT OF THE NAVY
2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MODIFICATION OF EQUIPMENT- MISCELLANEOUS,32500.0,NATIONS GAS TECHNOLOGIES INC.,BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION
2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,0.0,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY
2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,8148.77,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY
2016M01,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- MISCELLANEOUS,20753.36,"DIDIM CONSTRUCTION CO., LTD.",DEPT OF THE ARMY
2016M02,ALL OTHER NONMETALLIC MINERAL MINING,ELECTRIC ARC WELDING EQUIPMENT,5516.29,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,ALL OTHER NONMETALLIC MINERAL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",0.0,DOU'A AL-KUWAIT,DEPT OF THE AIR FORCE
2016M02,BITUMINOUS COAL UNDERGROUND MINING,"FUELS, SOLID",357796.31,RIVER TRADING COMPANY LTD,DEPT OF THE AIR FORCE
2016M02,BITUMINOUS COAL UNDERGROUND MINING,"FUELS, SOLID",467253.62,"DELTA COALS, LLC",DEPT OF THE NAVY
2016M02,BITUMINOUS COAL UNDERGROUND MINING,"FUELS, SOLID",496672.62,"DELTA COALS, LLC",DEPT OF THE NAVY
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION FACILITIES,22538.63,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,15061.99,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,16930.67,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF AMMUNITION STORAGE BUILDINGS,24623.24,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF FAMILY HOUSING FACILITIES,5060.13,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,"CONSTRUCTION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",8250.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,4136.71,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MAINTENANCE BUILDINGS,49604.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,4733.34,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,152332.08,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OFFICE BUILDINGS,82332.6,FOREIGN AWARDEES (UNDISCLOSED),"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,CONSTRUCTION OF OTHER UTILITIES,20480.88,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,"HARDWARE, COMMERCIAL",14214.0,GOVERNMENT MLO SUPPLIES USA INC,NATIONAL INSTITUTES OF HEALTH
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,MAINT/REPAIR/REBUILD OF EQUIPMENT- CONSTRUCTION/MINING/EXCAVATING/HIGHWAY MAINTENANCE EQUIPMENT,78840.0,WELMAS SERVICES LTD,AGENCY FOR INTERNATIONAL DEVELOPMENT
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,MAINTENANCE OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,6161.25,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",0.0,"DAD'S ENTERPRISES, INC.",FOREST SERVICE
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",1384.98,"BRAATEN SAND & GRAVEL, INC",FEDERAL PRISON SYSTEM
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",2295.01,"CORLISS RESOURCES, INC.",NATIONAL PARK SERVICE
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",6644.63,CINDERLITE TRUCKING CORPORATION,BUREAU OF LAND MANAGEMENT
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",8943.0,HARRISON OILFIELD SERVICES INC,BUREAU OF LAND MANAGEMENT
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,"MINERAL CONSTRUCTION MATERIALS, BULK",36774.2,"DAD'S ENTERPRISES, INC.",FOREST SERVICE
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS CONSTRUCTION EQUIPMENT,42177.22,DOU'A AL-KUWAIT,DEPT OF THE AIR FORCE
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS CONSTRUCTION MATERIALS,3560.14,MISCELLANEOUS FOREIGN AWARDEES,AGENCY FOR INTERNATIONAL DEVELOPMENT
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS CONSTRUCTION MATERIALS,5850.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2016M02,CONSTRUCTION SAND AND GRAVEL MINING,NEWSPAPERS AND PERIODICALS,0.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
